col. #;Transformation;mnemonic ;Series;Release;Timing (approx.);Pub Lag*;Source for data;Block Name;Proprietary Issue?;Why Call it Proprietary or Not
1;1;IPTOT;Total;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G17;Ind. Production;No;
2;1;IPFPS;Final Products and non-industrial supplies;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G18;Ind. Production;No;
3;1;IPFP;Final Products;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G19;Ind. Production;No;
4;1;IPCG;Consumer goods;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G20;Ind. Production;No;
5;1;IPDCG;Durable consumer goods;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G21;Ind. Production;No;
6;1;IPNDCG;Nondurable consumer goods;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G22;Ind. Production;No;
7;1;IPBE;Business equipment;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G23;Ind. Production;No;
8;1;IPMAT;Materials;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G24;Ind. Production;No;
9;1;IPMAT_NED;Materials, nonenergy, durables;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G25;Ind. Production;No;
10;1;IPMAT_NEND;Materials, nonenergy, nondurables;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G26;Ind. Production;No;
11;1;IPMFG;Mfg. (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G27;Ind. Production;No;
12;1;IPMFG_D;Mfg., durables (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G28;Ind. Production;No;
13;1;IPMFG_ND;Mfg., nondurables (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G29;Ind. Production;No;
14;1;IPMINE;Mining (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G30;Ind. Production;No;
15;1;IPUTIL;Utilities (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G31;Ind. Production;No;
16;1;IPENTOT;Energy, total (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G32;Ind. Production;No;
17;1;IPNETOT;Non-energy, total (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G33;Ind. Production;No;
18;1;IPMVP;Motor vehicles and parts (MVP) (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G34;Ind. Production;No;
19;1;IPCCS;Computers, comm. Equip., semiconductors (CCS) (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G35;Ind. Production;No;
20;1;IPNE_XCCS;Non-energy excl CCS (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G36;Ind. Production;No;
21;1;IPNE_XCCSMVP;Non-energy excl CCS and MVP (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G37;Ind. Production;No;
22;2;CUTOT;Capacity Utilization:  Total (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G38;Ind. Production;No;
23;2;CUMFG;Capacity Utilization:  Mfg. (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G39;Ind. Production;No;
24;2;CUMFGD;Capacity Utilization:  Mfg., durables (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G40;Ind. Production;No;
25;2;CUMFGND;Capacity Utilization:  Mfg., nondurables (NAICS);Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G41;Ind. Production;No;
26;2;CUMINE;Capacity Utilization:  Mining;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G42;Ind. Production;No;
27;2;CUUTIL;Capacity Utilization:  Utilities;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G43;Ind. Production;No;
28;2;CUCCS;Capacity Utilization:  Computers, comm. Equip., semiconductors;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G44;Ind. Production;No;
29;2;CUMFG_XCCS;Capacity Utilization: Mfg. excl CCS;Industrial Production and Capacity Utilization;15th to 17th of month;m-1;www.federalreserve.gov/releases/G45;Ind. Production;No;
30;2;PMI;Purchasing Managers Index (PMI);PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
31;2;PMI_PROD;ISM mfg index:  production (Institute for Supply Management);PMGR-Manufacturing;1st business day of month;m;www.ism.ws/ISMReport/;Surveys 2;No;Proprietary.ISM.doc
32;1;DPRI;Real disposable personal income;Personal Income;Day after GDP - release;m-1;http://www.bea.gov/bea/newsrel/pinewsrelease.htm;GDP & Income;No;
33;2;URATE;Unemployment rate;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
34;2;PRATE;Participation rate;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
35;1;MEANUN;Mean duration of unemployment;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
36;1;UNLT5WKS;Persons unemployed less than 5 weeks;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
37;1;UN5TO14WKS;Persons unemployed 5 to 14 weeks;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
38;1;UN15TO26WKS;Persons unemployed 15 to 26 weeks;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
39;1;UN15PWKS;Persons unemployed 15+ weeks;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
40;1;AVGWKLYCL;Avg. weekly initial claims;Claims;Last Thurs. of month;m;http://ows.doleta.gov/unemploy/claims.asp;Initial Claims;No;
41;1;PYRL_TOT;Employment on nonag payrolls: Total;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
42;1;PYRL_TOTPR;Employment on nonag payrolls: Total private;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
43;1;PYRL_GP;Employment on nonag payrolls:  Goods-producing;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
44;1;PYRL_MINE;Employment on nonag payrolls:  Mining;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
45;1;PYRL_CONS;Employment on nonag payrolls: Construction;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
46;1;PYRL_MFG;Employment on nonag payrolls:  Manufacturing;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
47;1;PYRL_MFGD;Employment on nonag payrolls:  Manufacturing, durables;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
48;1;PYRL_MFGN;Employment on nonag payrolls:  Manufacturing, nondurables;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
49;1;PYRL_SP;Employment on nonag payrolls:  Service-producing;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
50;1;PYRL_TPWH;Employment on nonag payrolls:  Transportation and warehousing;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
51;1;PYRL_UTIL;Employment on nonag payrolls:  Utilities;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
52;1;PYRL_RET;Employment on nonag payrolls:  Retail trade;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
53;1;PYRL_WHOLES;Employment on nonag payrolls:  Wholesale trade;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
54;1;PYRL_FINANC;Employment on nonag payrolls:  Financial activities;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
55;1;PYRL_PBS;Employment on nonag payrolls:  Professional and business services;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
56;1;PYRL_EHS;Employment on nonag payrolls:  Education and health services;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
57;1;PYRL_LHOSP;Employment on nonag payrolls:  Leisure and hospitality;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
58;1;PYRL_OTHSER;Employment on nonag payrolls:  Other services;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
59;1;PYRL_GOVT;Employment on nonag payrolls:  Government;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
60;1;AVGHRS_TOTPR;Avg. weekly hrs. of production of nonsupervisory workers:  Total private;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
61;1;AVGHRS_MFG;Avg. weekly hrs. of PNW: Mfg.;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
62;1;AVGOVERHRS_MFG;Avg. Weekly overtime hrs. of PNW:  Mfg.;Employment Situation;1st Fri. of month;m;http://www.bls.gov/news.release/pdf/empsit.pdf;Labor & Wages;No;
